Week,Peloton,Covid
2/23/2020,26,2
3/1/2020,24,5
3/8/2020,24,20
3/15/2020,67,53
3/22/2020,69,62
3/29/2020,71,66
4/5/2020,64,59
4/12/2020,65,47
4/19/2020,63,42
4/26/2020,64,39
5/3/2020,62,37
5/10/2020,55,37
5/17/2020,50,35
5/24/2020,47,32
5/31/2020,36,26
6/7/2020,32,29
6/14/2020,33,35
6/21/2020,36,45
6/28/2020,36,54
7/5/2020,39,57
7/12/2020,42,58
7/19/2020,48,49
7/26/2020,42,47
8/2/2020,41,43
8/9/2020,38,38
8/16/2020,36,35
8/23/2020,35,31
8/30/2020,43,32
9/6/2020,85,29
9/13/2020,60,28
9/20/2020,53,28
9/27/2020,42,35
10/4/2020,41,38
10/11/2020,45,32
10/18/2020,46,37
10/25/2020,44,41
11/1/2020,33,33
11/8/2020,54,54
11/15/2020,58,71
11/22/2020,63,54
11/29/2020,61,53
12/6/2020,54,58
12/13/2020,51,57
12/20/2020,66,57
12/27/2020,100,60
1/3/2021,80,59
1/10/2021,74,60
1/17/2021,76,58
1/24/2021,67,56
1/31/2021,65,52
2/7/2021,59,51
2/14/2021,60,43
2/21/2021,61,46
2/28/2021,59,53
3/7/2021,52,57
3/14/2021,66,51
3/21/2021,53,50
3/28/2021,43,54
4/4/2021,40,50
4/11/2021,43,42
4/18/2021,63,37
4/25/2021,37,41
5/2/2021,85,33
5/9/2021,41,32
5/16/2021,33,29
5/23/2021,33,24
5/30/2021,32,23
6/6/2021,30,21
6/13/2021,30,20
6/20/2021,31,19
6/27/2021,31,19
7/4/2021,30,20
7/11/2021,30,25
7/18/2021,32,35
7/25/2021,30,44
8/1/2021,28,63
8/8/2021,28,58
8/15/2021,27,58
8/22/2021,36,59
8/29/2021,34,60
9/5/2021,34,48
9/12/2021,31,42
9/19/2021,33,37
9/26/2021,31,35
10/3/2021,31,32
10/10/2021,32,29
10/17/2021,30,26
10/24/2021,31,28
10/31/2021,40,29
11/7/2021,38,30
11/14/2021,39,32
11/21/2021,48,32
11/28/2021,46,38
12/5/2021,55,34
12/12/2021,78,44
12/19/2021,38,78
12/26/2021,60,99
1/2/2022,58,100
1/9/2022,49,83
1/16/2022,76,84
1/23/2022,65,43
1/30/2022,46,30
2/6/2022,82,25
2/13/2022,37,22
2/20/2022,34,18
2/27/2022,29,17
3/6/2022,32,16
3/13/2022,29,16
3/20/2022,27,14
3/27/2022,25,14
4/3/2022,25,14
