DATE,Ice_Cream_Index,Temperature
1/1/2020,84.1969,34.57
2/1/2020,99.7767,36.18
3/1/2020,108.0301,46.08
4/1/2020,102.7954,50.88
5/1/2020,112.5288,60.91
6/1/2020,122.0301,70.29
7/1/2020,116.9799,75.65
8/1/2020,120.712,74.71
9/1/2020,111.8634,65.91
10/1/2020,100.7911,54.28
11/1/2020,93.1239,46.31
12/1/2020,83.7717,35.71
1/1/2021,92.7025,30.97
2/1/2021,101.2105,30.6
3/1/2021,111.4117,45.54
4/1/2021,110.6197,51.87
5/1/2021,109.4956,60.34
6/1/2021,113.77,72.59
7/1/2021,108.8079,75.4
8/1/2021,106.892,73.98
9/1/2021,95.8193,67.8
10/1/2021,93.0939,56.95
11/1/2021,82.6352,45.09
12/1/2020,76.7508,39.34
