Week,Peloton
3/10/2019,10
3/17/2019,11
3/24/2019,10
3/31/2019,9
4/7/2019,8
4/14/2019,9
4/21/2019,8
4/28/2019,10
5/5/2019,10
5/12/2019,9
5/19/2019,9
5/26/2019,9
6/2/2019,10
6/9/2019,10
6/16/2019,11
6/23/2019,11
6/30/2019,10
7/7/2019,10
7/14/2019,11
7/21/2019,11
7/28/2019,10
8/4/2019,11
8/11/2019,10
8/18/2019,9
8/25/2019,11
9/1/2019,11
9/8/2019,11
9/15/2019,10
9/22/2019,17
9/29/2019,11
10/6/2019,10
10/13/2019,10
10/20/2019,10
10/27/2019,11
11/3/2019,15
11/10/2019,17
11/17/2019,20
11/24/2019,36
12/1/2019,100
12/8/2019,78
12/15/2019,35
12/22/2019,42
12/29/2019,46
1/5/2020,30
1/12/2020,24
1/19/2020,20
1/26/2020,18
2/2/2020,17
2/9/2020,15
2/16/2020,16
2/23/2020,16
3/1/2020,14
3/8/2020,15
3/15/2020,40
3/22/2020,41
3/29/2020,43
4/5/2020,38
4/12/2020,39
4/19/2020,38
4/26/2020,38
5/3/2020,37
5/10/2020,33
5/17/2020,30
5/24/2020,28
5/31/2020,22
6/7/2020,19
6/14/2020,20
6/21/2020,21
6/28/2020,21
7/5/2020,23
7/12/2020,25
7/19/2020,29
7/26/2020,25
8/2/2020,25
8/9/2020,23
8/16/2020,22
8/23/2020,21
8/30/2020,26
9/6/2020,51
9/13/2020,36
9/20/2020,32
9/27/2020,25
10/4/2020,25
10/11/2020,27
10/18/2020,28
10/25/2020,26
11/1/2020,19
11/8/2020,32
11/15/2020,35
11/22/2020,38
11/29/2020,37
12/6/2020,32
12/13/2020,30
12/20/2020,39
12/27/2020,60
1/3/2021,48
1/10/2021,44
1/17/2021,45
1/24/2021,40
1/31/2021,39
2/7/2021,35
2/14/2021,36
2/21/2021,36
2/28/2021,35
3/7/2021,31
3/14/2021,39
3/21/2021,32
3/28/2021,26
4/4/2021,24
4/11/2021,25
4/18/2021,38
4/25/2021,22
5/2/2021,51
5/9/2021,24
5/16/2021,19
5/23/2021,20
5/30/2021,19
6/6/2021,18
6/13/2021,18
6/20/2021,18
6/27/2021,18
7/4/2021,18
7/11/2021,18
7/18/2021,19
7/25/2021,18
8/1/2021,17
8/8/2021,17
8/15/2021,16
8/22/2021,22
8/29/2021,20
9/5/2021,20
9/12/2021,18
9/19/2021,20
9/26/2021,18
10/3/2021,18
10/10/2021,19
10/17/2021,18
10/24/2021,18
10/31/2021,24
11/7/2021,23
11/14/2021,23
11/21/2021,29
11/28/2021,28
12/5/2021,33
12/12/2021,47
12/19/2021,23
12/26/2021,36
1/2/2022,34
1/9/2022,29
1/16/2022,45
1/23/2022,39
1/30/2022,27
2/6/2022,49
2/13/2022,22
2/20/2022,20
2/27/2022,17
3/6/2022,19
3/13/2022,17
3/20/2022,16
3/27/2022,15
4/3/2022,15
